Production Model,Version,Defect Type,Defect Observation Area,QA Worker,Shift Time,Component Category,Fixture ID,Inspection Week,Production Order Priority
Model 595130-195,05,missing/unknown,Final Assembly Line,Sloane,Afternoon,Diode,FX-007,2025-W34,Medium
Model 595242-854,04,pin hole,Unknown,Geofrey,Afternoon,Diode,FX-040,2025-W21,High
Model 595130-195,01,component misalignment,Production Line 1,Geofrey,Night,Connector,FX-007,2025-W23,Low
Model 595242-854,03,insufficient solder,Production Line 2,Mel,Night,Diode,FX-005,2025-W31,Medium
Model 595130-195,03,missing component,Unknown,Darci,Night,Transistor,FX-034,2025-W49,Medium
Model 595214-125,04,solder bridge,Production Line 3,Jerome,Night,Transistor,FX-005,2025-W04,Low
Model 595130-195,04,no property assembled,QA Inspection Station,Leena,Afternoon,Diode,FX-012,2025-W38,Low
Model 595214-125,01,solder bridge,QA Inspection Station,Leena,Afternoon,Resistor,FX-020,2025-W50,Low
Model 595214-125,02,reversed component,Production Line 3,Daysha,Afternoon,Capacitor,FX-029,2025-W17,Low
Model 595214-125,05,component height/titled,QA Inspection Station,Darci,Morning,Resistor,FX-022,2025-W16,Low
Model 595859-381,05,missing/unknown,Production Line 1,Mel,Afternoon,Resistor,FX-036,2025-W05,Medium
Model 595859-381,04,reversed component,Production Line 3,Darci,Afternoon,Diode,FX-001,2025-W40,Low
Model 595130-195,03,wrong component,Production Line 1,Darci,Night,Resistor,FX-040,2025-W19,Medium
Model 595242-854,04,damaged/ lifted pad,Production Line 3,Tristian,Afternoon,Connector,FX-038,2025-W12,High
Model 595130-195,03,no property assembled,Final Assembly Line,Alaine,Afternoon,Diode,FX-035,2025-W14,High
Model 595214-125,05,component height/titled,Production Line 3,Daysha,Night,Diode,FX-027,2025-W05,Medium
Model 595858-658,01,component misalignment,Production Line 1,Daysha,Afternoon,Transistor,FX-044,2025-W07,Low
Model 595242-854,05,solder bridge,Final Assembly Line,Darci,Morning,Capacitor,FX-036,2025-W21,High
Model 595130-195,02,lifted component,Unknown,Leena,Morning,Resistor,FX-036,2025-W48,Medium
Model 595242-854,02,component broken,Production Line 2,Mel,Afternoon,Diode,FX-041,2025-W34,Low
Model 595859-381,01,missing/unknown,Production Line 1,Mel,Morning,Resistor,FX-042,2025-W22,High
Model 595214-125,01,damaged/ lifted pad,Final Assembly Line,Sloane,Night,Capacitor,FX-009,2025-W01,High
Model 595242-854,05,pin hole,QA Inspection Station,Leena,Afternoon,Transistor,FX-018,2025-W23,Low
Model 595130-195,05,missing component,Production Line 3,Davonte,Morning,Connector,FX-028,2025-W50,Medium
Model 595214-125,02,component height/titled,Production Line 1,Alaine,Morning,Resistor,FX-039,2025-W12,High
Model 595130-195,03,missing/unknown,Final Assembly Line,Jerome,Afternoon,Capacitor,FX-032,2025-W21,Medium
Model 595130-195,05,component broken,Production Line 3,Alaine,Afternoon,Diode,FX-013,2025-W50,Medium
Model 595532-132,05,insufficient solder,QA Inspection Station,Geofrey,Afternoon,Capacitor,FX-008,2025-W11,High
Model 595532-132,04,excessive solder,Final Assembly Line,Tristian,Night,Connector,FX-041,2025-W41,High
Model 595214-125,02,pin hole,Production Line 3,Sloane,Morning,Capacitor,FX-023,2025-W02,High
Model 595214-125,03,reversed component,Production Line 1,Daysha,Night,Transistor,FX-006,2025-W39,Low
Model 595532-132,03,no property assembled,Production Line 3,Tristian,Night,Diode,FX-046,2025-W20,Medium
Model 595130-195,03,component misalignment,Production Line 2,Daysha,Morning,Diode,FX-014,2025-W51,High
Model 595204-792,02,no property assembled,Production Line 3,Zoya,Afternoon,Resistor,FX-024,2025-W15,Low
Model 595242-854,01,pin hole,Production Line 1,Zoya,Night,Transistor,FX-002,2025-W04,High
Model 595130-195,02,missing component,Production Line 1,Zoya,Afternoon,Transistor,FX-035,2025-W22,Medium
Model 595130-195,04,missing component,Final Assembly Line,Leena,Afternoon,Diode,FX-006,2025-W24,High
Model 595859-381,04,component height/titled,QA Inspection Station,Mel,Night,Connector,FX-045,2025-W14,Medium
Model 595242-854,05,wrong configuration,Final Assembly Line,Jerome,Night,Transistor,FX-032,2025-W27,Low
Model 595532-132,05,solder bridge,Unknown,Tristian,Night,Transistor,FX-039,2025-W09,Medium
Model 595214-125,01,insufficient solder,Production Line 1,Alaine,Afternoon,Resistor,FX-036,2025-W07,Medium
Model 595242-854,05,component broken,Final Assembly Line,Xiang Liang,Morning,Diode,FX-017,2025-W48,High
Model 595859-381,05,missing/unknown,Production Line 1,Xiang Liang,Morning,Diode,FX-024,2025-W08,High
Model 595859-381,04,missing/unknown,Final Assembly Line,Mel,Night,Resistor,FX-023,2025-W47,Low
Model 595214-125,05,component height/titled,Production Line 3,Zoya,Night,Connector,FX-034,2025-W46,High
Model 595214-125,01,wrong configuration,QA Inspection Station,Geofrey,Afternoon,Transistor,FX-029,2025-W14,Low
Model 595214-125,03,component height/titled,Production Line 3,Mel,Night,Resistor,FX-010,2025-W52,Medium
Model 595130-195,03,component misalignment,Unknown,Alaine,Afternoon,Connector,FX-035,2025-W16,High
Model 595242-854,03,damaged/ lifted pad,QA Inspection Station,Zoya,Morning,Transistor,FX-014,2025-W05,Medium
Model 595532-132,05,long terminals,Production Line 1,Mel,Morning,Capacitor,FX-046,2025-W40,Medium
Model 595214-125,02,excessive solder,QA Inspection Station,Zoya,Afternoon,Diode,FX-017,2025-W13,Low
Model 595214-125,04,component height/titled,Production Line 2,Davonte,Night,Diode,FX-019,2025-W50,Medium
Model 595130-195,05,missing/unknown,Production Line 2,Jerome,Night,Transistor,FX-004,2025-W40,High
Model 595214-125,01,reversed component,Production Line 1,Darci,Afternoon,Resistor,FX-038,2025-W51,High
Model 595532-132,05,damaged/ lifted pad,Production Line 3,Xiang Liang,Afternoon,Diode,FX-007,2025-W14,Low
Model 595214-125,02,excessive solder,QA Inspection Station,Tristian,Night,Resistor,FX-015,2025-W06,High
Model 595242-854,02,lifted component,Final Assembly Line,Xiang Liang,Night,Diode,FX-031,2025-W19,Low
Model 595214-125,03,reversed component,Production Line 2,Xiang Liang,Night,Resistor,FX-045,2025-W26,Medium
Model 595130-195,01,component misalignment,QA Inspection Station,Darci,Morning,Diode,FX-002,2025-W02,Low
Model 595214-125,04,excessive solder,Final Assembly Line,Leena,Morning,Capacitor,FX-015,2025-W31,Medium
Model 595130-195,05,component misalignment,QA Inspection Station,Leena,Afternoon,Connector,FX-050,2025-W46,Medium
Model 595130-195,02,bad modules,Production Line 1,Zoya,Afternoon,Diode,FX-040,2025-W16,Medium
Model 595242-854,04,lifted component,QA Inspection Station,Alaine,Afternoon,Diode,FX-039,2025-W16,Medium
Model 595214-125,03,excessive solder,Production Line 3,Mel,Afternoon,Transistor,FX-009,2025-W32,Low
Model 595532-132,02,damaged/ lifted pad,Final Assembly Line,Jerome,Night,Connector,FX-038,2025-W45,Medium
Model 595130-195,04,no property assembled,Production Line 3,Daysha,Afternoon,Connector,FX-047,2025-W13,Medium
Model 595130-195,04,wrong component,Production Line 1,Sloane,Night,Capacitor,FX-043,2025-W50,Low
Model 595859-381,03,wrong routing,Production Line 3,Alaine,Night,Capacitor,FX-036,2025-W17,High
Model 595214-125,02,reversed component,Production Line 3,Mel,Night,Transistor,FX-007,2025-W28,Low
Model 595214-125,03,component height/titled,Production Line 2,Tristian,Morning,Connector,FX-040,2025-W37,High
Model 595214-125,04,reversed component,Final Assembly Line,Daysha,Night,Transistor,FX-039,2025-W38,Medium
Model 595204-792,01,pin damaged,Production Line 3,Sloane,Night,Capacitor,FX-007,2025-W12,High
Model 595323-328,05,pin damaged,Production Line 1,Daysha,Night,Transistor,FX-010,2025-W48,Medium
Model 595242-854,01,solder bridge,Production Line 2,Mel,Afternoon,Transistor,FX-030,2025-W18,High
Model 595214-125,01,component height/titled,Unknown,Jerome,Morning,Resistor,FX-002,2025-W23,Low
Model 595858-658,01,component misalignment,Production Line 2,Alaine,Afternoon,Connector,FX-004,2025-W10,Medium
Model 595214-125,03,excessive solder,Production Line 1,Xiang Liang,Afternoon,Diode,FX-007,2025-W19,High
Model 595130-195,02,component misalignment,Production Line 3,Jerome,Afternoon,Connector,FX-035,2025-W51,Low
Model 595130-195,05,missing/unknown,Production Line 1,Mel,Night,Diode,FX-031,2025-W25,High
Model 595242-854,02,pin hole,QA Inspection Station,Mel,Night,Resistor,FX-022,2025-W23,Medium
Model 595858-658,01,component misalignment,QA Inspection Station,Alaine,Night,Resistor,FX-038,2025-W51,High
Model 595214-125,01,excessive solder,QA Inspection Station,Leena,Night,Transistor,FX-031,2025-W39,High
Model 595130-195,01,missing/unknown,Unknown,Alaine,Night,Resistor,FX-022,2025-W13,High
Model 595130-195,05,no property assembled,Production Line 3,Tristian,Morning,Diode,FX-035,2025-W11,High
Model 595214-125,03,solder bridge,QA Inspection Station,Jerome,Night,Diode,FX-021,2025-W41,Low
Model 595204-792,03,component misalignment,Production Line 2,Jerome,Afternoon,Diode,FX-006,2025-W37,Medium
Model 595859-381,02,damaged/ lifted pad,Production Line 1,Sloane,Night,Capacitor,FX-011,2025-W24,High
Model 595214-125,02,solder bridge,Production Line 2,Davonte,Night,Diode,FX-034,2025-W18,Medium
Model 595130-195,03,missing/unknown,Unknown,Zoya,Morning,Diode,FX-008,2025-W45,High
Model 595532-132,03,damaged/ lifted pad,Production Line 2,Xiang Liang,Night,Resistor,FX-038,2025-W17,Medium
Model 595242-854,01,lifted component,Final Assembly Line,Sloane,Morning,Diode,FX-041,2025-W18,Medium
Model 595214-125,05,trace open,Production Line 1,Jerome,Morning,Diode,FX-017,2025-W40,Medium
Model 595189-704,04,component misalignment,Production Line 3,Alaine,Morning,Capacitor,FX-001,2025-W51,Low
Model 595130-195,04,missing/unknown,Production Line 2,Davonte,Morning,Diode,FX-017,2025-W45,High
Model 595130-195,04,missing/unknown,Production Line 2,Alaine,Afternoon,Diode,FX-044,2025-W32,High
Model 595130-195,01,component misalignment,Production Line 1,Leena,Morning,Capacitor,FX-013,2025-W18,Low
Model 595859-381,05,reversed component,Production Line 3,Daysha,Afternoon,Connector,FX-033,2025-W09,Low
Model 595130-195,01,missing component,Final Assembly Line,Tristian,Morning,Diode,FX-030,2025-W07,Low
Model 595214-125,02,excessive solder,QA Inspection Station,Tristian,Morning,Diode,FX-026,2025-W36,Medium
Model 595204-792,02,pin damaged,Production Line 3,Mel,Night,Diode,FX-013,2025-W25,Medium
Model 595323-328,04,excessive solder,Unknown,Daysha,Afternoon,Capacitor,FX-017,2025-W11,High
Model 595214-125,02,bad modules,QA Inspection Station,Geofrey,Night,Capacitor,FX-006,2025-W43,Medium
Model 595130-195,03,component misalignment,QA Inspection Station,Leena,Morning,Diode,FX-003,2025-W36,High
Model 595130-195,02,no property assembled,Final Assembly Line,Darci,Afternoon,Transistor,FX-040,2025-W37,Low
Model 595214-125,05,reversed component,Unknown,Leena,Night,Connector,FX-006,2025-W34,Low
Model 595532-132,01,damaged/ lifted pad,Unknown,Mel,Night,Resistor,FX-044,2025-W06,Low
Model 595242-854,05,pin hole,Production Line 3,Tristian,Night,Capacitor,FX-019,2025-W36,Medium
Model 595214-125,02,reversed component,Unknown,Zoya,Afternoon,Capacitor,FX-009,2025-W10,High
Model 595859-381,03,reversed component,Production Line 2,Mel,Morning,Diode,FX-001,2025-W41,High
Model 595130-195,01,bad modules,Production Line 1,Tristian,Night,Diode,FX-038,2025-W04,Medium
Model 595242-854,05,pin hole,Production Line 2,Xiang Liang,Night,Capacitor,FX-039,2025-W43,Low
Model 595859-381,02,damaged component,Final Assembly Line,Sloane,Night,Connector,FX-012,2025-W20,Medium
Model 595130-195,04,no property assembled,Production Line 1,Tristian,Morning,Diode,FX-023,2025-W12,High
Model 595130-195,04,wrong configuration,Production Line 1,Xiang Liang,Afternoon,Transistor,FX-020,2025-W18,High
Model 595323-328,05,solder bridge,Unknown,Jerome,Afternoon,Connector,FX-038,2025-W12,Medium
Model 595130-195,05,no property assembled,Unknown,Zoya,Morning,Connector,FX-036,2025-W04,High
Model 595214-125,05,excessive solder,Production Line 3,Leena,Afternoon,Diode,FX-007,2025-W22,Low
Model 595242-854,04,component broken,QA Inspection Station,Zoya,Afternoon,Connector,FX-004,2025-W28,Medium
Model 595214-125,04,excessive solder,Production Line 3,Daysha,Morning,Connector,FX-006,2025-W03,Medium
Model 595242-854,03,solder bridge,Final Assembly Line,Mel,Night,Diode,FX-040,2025-W11,High
Model 595130-195,01,no property assembled,Production Line 2,Davonte,Morning,Capacitor,FX-010,2025-W09,Low
Model 595130-195,01,missing/unknown,Production Line 1,Tristian,Night,Transistor,FX-020,2025-W12,High
Model 595242-854,03,solder bridge,QA Inspection Station,Sloane,Afternoon,Capacitor,FX-020,2025-W05,High
Model 595130-195,05,damaged/ lifted pad,QA Inspection Station,Davonte,Morning,Transistor,FX-005,2025-W16,Low
Model 595130-195,02,missing component,Production Line 3,Mel,Afternoon,Connector,FX-019,2025-W17,Medium
Model 595130-195,01,component misalignment,QA Inspection Station,Geofrey,Afternoon,Capacitor,FX-006,2025-W26,High
Model 595214-125,03,excessive solder,Production Line 3,Leena,Night,Diode,FX-005,2025-W04,High
Model 595130-195,03,insufficient solder,QA Inspection Station,Tristian,Night,Connector,FX-004,2025-W20,High
Model 595130-195,03,no property assembled,Final Assembly Line,Zoya,Afternoon,Transistor,FX-044,2025-W46,High
Model 595214-125,02,solder bridge,Production Line 3,Jerome,Morning,Connector,FX-046,2025-W25,Medium
Model 595214-125,01,insufficient solder,Production Line 3,Darci,Afternoon,Resistor,FX-047,2025-W04,Medium
Model 595323-328,04,missing/unknown,Production Line 1,Darci,Afternoon,Capacitor,FX-048,2025-W20,Medium
Model 595130-195,03,pin damaged,Final Assembly Line,Xiang Liang,Night,Transistor,FX-004,2025-W52,Low
Model 595532-132,03,no property assembled,Production Line 2,Zoya,Afternoon,Connector,FX-017,2025-W27,Medium
Model 595323-328,02,pin damaged,Final Assembly Line,Geofrey,Morning,Transistor,FX-037,2025-W04,High
Model 595242-854,02,lifted component,QA Inspection Station,Daysha,Night,Connector,FX-028,2025-W14,High
Model 595130-195,04,no property assembled,QA Inspection Station,Mel,Afternoon,Transistor,FX-024,2025-W31,Medium
Model 595242-854,05,solder bridge,Unknown,Geofrey,Night,Resistor,FX-050,2025-W38,Low
Model 595214-125,05,component height/titled,Production Line 3,Leena,Morning,Capacitor,FX-010,2025-W23,High
Model 595242-854,05,pin hole,Unknown,Jerome,Morning,Transistor,FX-047,2025-W47,Low
Model 595532-132,02,long terminals,Unknown,Darci,Night,Diode,FX-001,2025-W37,High
Model 595130-195,03,missing/unknown,Production Line 2,Daysha,Afternoon,Connector,FX-045,2025-W41,Medium
Model 595214-125,05,no property assembled,Final Assembly Line,Leena,Night,Capacitor,FX-043,2025-W36,Low
Model 595214-125,02,excessive solder,Unknown,Xiang Liang,Night,Capacitor,FX-025,2025-W01,Low
Model 595532-132,05,damaged/ lifted pad,Unknown,Tristian,Night,Capacitor,FX-026,2025-W07,Low
Model 595242-854,05,component broken,Unknown,Xiang Liang,Morning,Connector,FX-034,2025-W11,Medium
Model 595242-854,02,pin hole,Unknown,Darci,Morning,Resistor,FX-019,2025-W35,Medium
Model 595242-854,03,pin hole,Production Line 3,Tristian,Morning,Connector,FX-035,2025-W42,High
Model 595242-854,03,damaged component,Production Line 1,Daysha,Night,Transistor,FX-050,2025-W18,High
Model 595242-854,05,pin hole,Production Line 3,Jerome,Night,Resistor,FX-019,2025-W37,High
Model 595130-195,02,missing/unknown,QA Inspection Station,Geofrey,Afternoon,Resistor,FX-030,2025-W41,Medium
Model 595242-854,03,solder bridge,Unknown,Xiang Liang,Afternoon,Capacitor,FX-046,2025-W50,High
Model 595859-381,03,trace open,Production Line 3,Leena,Night,Connector,FX-015,2025-W11,Medium
Model 595532-132,02,solder bridge,Production Line 1,Daysha,Afternoon,Diode,FX-011,2025-W38,High
Model 595214-125,03,reversed component,Production Line 2,Darci,Night,Capacitor,FX-038,2025-W09,Low
Model 595532-132,05,no property assembled,Production Line 2,Zoya,Night,Diode,FX-039,2025-W44,High
Model 595214-125,03,excessive solder,Production Line 1,Darci,Afternoon,Diode,FX-038,2025-W02,Medium
Model 595214-125,05,reversed component,Production Line 2,Geofrey,Afternoon,Transistor,FX-029,2025-W44,Medium
Model 595858-658,04,solder void,Production Line 3,Daysha,Morning,Diode,FX-011,2025-W06,High
Model 595214-125,05,component height/titled,Production Line 3,Darci,Morning,Diode,FX-046,2025-W24,Medium
Model 595242-854,05,pin hole,Production Line 1,Darci,Afternoon,Transistor,FX-036,2025-W32,High
Model 595242-854,05,pin hole,Final Assembly Line,Alaine,Morning,Transistor,FX-010,2025-W06,High
Model 595214-125,03,excessive solder,Production Line 1,Zoya,Morning,Connector,FX-033,2025-W19,Medium
Model 595214-125,05,solder bridge,QA Inspection Station,Alaine,Night,Transistor,FX-018,2025-W23,Low
Model 595859-381,02,wrong configuration,Production Line 3,Zoya,Afternoon,Diode,FX-021,2025-W48,Medium
Model 595242-854,02,component broken,QA Inspection Station,Davonte,Night,Diode,FX-023,2025-W33,Medium
Model 595214-125,02,damaged/ lifted pad,Final Assembly Line,Zoya,Night,Transistor,FX-024,2025-W33,Medium
Model 595242-854,03,lifted component,QA Inspection Station,Geofrey,Afternoon,Transistor,FX-018,2025-W43,High
Model 595130-195,02,missing component,Production Line 3,Sloane,Afternoon,Capacitor,FX-013,2025-W29,High
Model 595242-854,01,lifted component,QA Inspection Station,Davonte,Morning,Transistor,FX-009,2025-W14,Low
Model 595532-132,05,no property assembled,Production Line 1,Tristian,Night,Transistor,FX-035,2025-W23,High
Model 595204-792,01,solder void,Unknown,Davonte,Morning,Transistor,FX-047,2025-W03,High
Model 595214-125,01,reversed component,QA Inspection Station,Darci,Morning,Diode,FX-010,2025-W10,Medium
Model 595859-381,05,reversed component,Production Line 2,Leena,Morning,Connector,FX-043,2025-W19,Low
Model 595858-658,01,component misalignment,Unknown,Zoya,Morning,Capacitor,FX-009,2025-W29,High
Model 595859-381,02,damaged/ lifted pad,QA Inspection Station,Tristian,Morning,Diode,FX-028,2025-W08,Low
Model 595204-792,01,solder void,Production Line 2,Darci,Morning,Resistor,FX-025,2025-W08,Low
Model 595242-854,01,lifted component,Production Line 1,Leena,Morning,Transistor,FX-044,2025-W42,High
Model 595242-854,03,component broken,Production Line 1,Daysha,Afternoon,Connector,FX-048,2025-W51,Medium
Model 595130-195,05,no property assembled,Final Assembly Line,Tristian,Afternoon,Transistor,FX-031,2025-W01,High
Model 595214-125,04,bad modules,Production Line 1,Geofrey,Morning,Transistor,FX-031,2025-W03,High
Model 595130-195,01,missing/unknown,QA Inspection Station,Xiang Liang,Afternoon,Capacitor,FX-002,2025-W19,High
Model 595214-125,02,pin hole,Production Line 1,Davonte,Afternoon,Diode,FX-043,2025-W27,High
Model 595859-381,02,wrong routing,Unknown,Darci,Night,Diode,FX-049,2025-W36,Medium
Model 595130-195,04,missing/unknown,Final Assembly Line,Zoya,Afternoon,Resistor,FX-015,2025-W15,High
Model 595859-381,02,component height/titled,Unknown,Zoya,Afternoon,Transistor,FX-033,2025-W32,Medium
Model 595130-195,03,missing/unknown,Production Line 1,Daysha,Morning,Resistor,FX-025,2025-W51,Medium
Model 595130-195,04,component misalignment,Production Line 3,Zoya,Morning,Capacitor,FX-042,2025-W21,Low
Model 595130-195,03,missing/unknown,QA Inspection Station,Tristian,Afternoon,Capacitor,FX-010,2025-W06,Medium
Model 595204-792,05,component misalignment,Production Line 3,Jerome,Night,Connector,FX-028,2025-W51,Low
Model 595214-125,05,solder bridge,QA Inspection Station,Sloane,Morning,Connector,FX-022,2025-W09,Low
Model 595214-125,01,component height/titled,Production Line 3,Jerome,Night,Transistor,FX-049,2025-W10,Medium
Model 595532-132,01,damaged/ lifted pad,Production Line 3,Mel,Afternoon,Diode,FX-016,2025-W16,High
Model 595242-854,04,pin hole,Production Line 1,Darci,Night,Resistor,FX-001,2025-W42,Medium
Model 595242-854,03,wrong component,QA Inspection Station,Leena,Night,Capacitor,FX-014,2025-W38,Medium
Model 595130-195,04,wrong configuration,Production Line 3,Alaine,Night,Capacitor,FX-047,2025-W29,High
Model 595242-854,04,pin hole,Production Line 2,Alaine,Afternoon,Diode,FX-027,2025-W19,Medium
Model 595214-125,01,component height/titled,Final Assembly Line,Jerome,Morning,Connector,FX-014,2025-W09,Medium
Model 595130-195,05,long terminals,Final Assembly Line,Alaine,Morning,Transistor,FX-022,2025-W19,Low
Model 595130-195,04,component misalignment,Production Line 1,Geofrey,Afternoon,Transistor,FX-018,2025-W16,Low
Model 595242-854,01,damaged/ lifted pad,Final Assembly Line,Sloane,Afternoon,Connector,FX-036,2025-W02,High
Model 595532-132,04,insufficient solder,Production Line 3,Davonte,Morning,Capacitor,FX-047,2025-W20,Low
Model 595532-132,03,damaged/ lifted pad,Unknown,Davonte,Night,Capacitor,FX-018,2025-W31,Medium
Model 595214-125,03,solder bridge,Production Line 1,Leena,Afternoon,Transistor,FX-005,2025-W52,Low
Model 595859-381,02,damaged component,Production Line 1,Sloane,Morning,Capacitor,FX-031,2025-W33,Medium
Model 595214-125,01,solder bridge,Production Line 1,Alaine,Night,Connector,FX-026,2025-W02,Medium
Model 595214-125,03,pin hole,Unknown,Zoya,Morning,Capacitor,FX-017,2025-W39,High
Model 595859-381,05,component height/titled,Final Assembly Line,Alaine,Afternoon,Connector,FX-045,2025-W08,Low
Model 595204-792,04,pin damaged,Production Line 3,Sloane,Night,Resistor,FX-005,2025-W24,Medium
Model 595242-854,01,component broken,Production Line 2,Davonte,Morning,Transistor,FX-004,2025-W10,Low
Model 595214-125,01,insufficient solder,QA Inspection Station,Darci,Morning,Resistor,FX-009,2025-W11,Low
Model 595130-195,01,no property assembled,Final Assembly Line,Tristian,Afternoon,Connector,FX-038,2025-W10,High
Model 595532-132,01,insufficient solder,QA Inspection Station,Zoya,Morning,Connector,FX-018,2025-W49,High
Model 595130-195,02,missing/unknown,QA Inspection Station,Leena,Afternoon,Capacitor,FX-024,2025-W05,High
Model 595214-125,03,solder bridge,Production Line 2,Davonte,Night,Diode,FX-005,2025-W48,High
Model 595242-854,02,long terminals,Production Line 2,Tristian,Morning,Capacitor,FX-040,2025-W43,Low
Model 595130-195,02,no property assembled,Unknown,Tristian,Morning,Connector,FX-017,2025-W47,High
Model 595130-195,01,missing/unknown,Production Line 1,Alaine,Night,Capacitor,FX-008,2025-W22,Low
Model 595532-132,01,no property assembled,Production Line 3,Darci,Afternoon,Diode,FX-049,2025-W32,High
Model 595130-195,02,lifted component,Production Line 3,Alaine,Night,Transistor,FX-039,2025-W26,Medium
Model 595214-125,05,excessive solder,Production Line 3,Geofrey,Night,Capacitor,FX-011,2025-W19,Low
Model 595214-125,03,component height/titled,Unknown,Zoya,Afternoon,Resistor,FX-004,2025-W29,Medium
Model 595323-328,02,missing/unknown,Production Line 2,Jerome,Afternoon,Transistor,FX-025,2025-W21,Medium
Model 595130-195,05,wrong configuration,Production Line 1,Geofrey,Night,Diode,FX-018,2025-W51,High
Model 595242-854,05,component broken,QA Inspection Station,Jerome,Afternoon,Resistor,FX-013,2025-W09,Low
Model 595242-854,04,lifted component,Unknown,Xiang Liang,Night,Capacitor,FX-041,2025-W49,Low
Model 595130-195,05,wrong routing,QA Inspection Station,Zoya,Night,Transistor,FX-042,2025-W44,High
Model 595130-195,03,no property assembled,QA Inspection Station,Tristian,Afternoon,Connector,FX-005,2025-W47,High
Model 595242-854,03,pin hole,Final Assembly Line,Sloane,Night,Diode,FX-031,2025-W30,High
Model 595214-125,04,solder bridge,QA Inspection Station,Tristian,Afternoon,Diode,FX-034,2025-W16,High
Model 595242-854,03,lifted component,Production Line 3,Jerome,Night,Diode,FX-027,2025-W47,Medium
Model 595189-704,05,trace open,QA Inspection Station,Tristian,Afternoon,Capacitor,FX-020,2025-W27,Medium
Model 595532-132,01,damaged/ lifted pad,Production Line 1,Leena,Night,Diode,FX-015,2025-W40,Low
Model 595532-132,03,no property assembled,QA Inspection Station,Xiang Liang,Afternoon,Capacitor,FX-041,2025-W28,Low
Model 595214-125,05,no property assembled,Final Assembly Line,Xiang Liang,Morning,Diode,FX-017,2025-W48,High
Model 595532-132,04,excessive solder,Production Line 1,Jerome,Morning,Diode,FX-036,2025-W23,High
Model 595130-195,04,missing/unknown,Unknown,Tristian,Night,Transistor,FX-021,2025-W43,High
Model 595532-132,01,wrong component,Production Line 1,Darci,Afternoon,Transistor,FX-033,2025-W10,High
Model 595130-195,03,missing component,Production Line 2,Tristian,Afternoon,Resistor,FX-014,2025-W39,High
Model 595130-195,05,missing/unknown,Production Line 3,Daysha,Afternoon,Resistor,FX-014,2025-W16,Medium
Model 595859-381,05,component height/titled,QA Inspection Station,Jerome,Morning,Capacitor,FX-003,2025-W16,High
Model 595130-195,03,component misalignment,QA Inspection Station,Daysha,Morning,Resistor,FX-038,2025-W48,Medium
Model 595532-132,02,damaged/ lifted pad,Unknown,Leena,Afternoon,Connector,FX-033,2025-W10,High
Model 595130-195,03,missing component,Unknown,Leena,Afternoon,Connector,FX-048,2025-W36,High
Model 595130-195,03,missing component,Production Line 1,Zoya,Afternoon,Connector,FX-011,2025-W49,Low
Model 595214-125,02,trace open,Production Line 1,Leena,Morning,Capacitor,FX-004,2025-W26,Low
Model 595242-854,01,lifted component,QA Inspection Station,Davonte,Afternoon,Diode,FX-014,2025-W42,High
Model 595859-381,02,wrong configuration,Production Line 1,Daysha,Night,Diode,FX-035,2025-W20,Medium
Model 595323-328,03,missing/unknown,QA Inspection Station,Davonte,Afternoon,Capacitor,FX-012,2025-W30,High
Model 595130-195,04,component misalignment,QA Inspection Station,Alaine,Afternoon,Diode,FX-036,2025-W20,Medium
Model 595532-132,03,no property assembled,QA Inspection Station,Leena,Night,Resistor,FX-017,2025-W50,Low
Model 595204-792,05,pin damaged,Production Line 1,Davonte,Afternoon,Connector,FX-035,2025-W19,High
Model 595214-125,01,excessive solder,Final Assembly Line,Mel,Night,Resistor,FX-042,2025-W37,Medium
Model 595130-195,05,missing component,QA Inspection Station,Sloane,Night,Resistor,FX-010,2025-W07,High
Model 595242-854,01,pin hole,QA Inspection Station,Daysha,Afternoon,Resistor,FX-016,2025-W17,High
Model 595242-854,03,pin hole,Final Assembly Line,Jerome,Night,Transistor,FX-025,2025-W28,Low
Model 595859-381,01,component height/titled,Production Line 3,Mel,Morning,Resistor,FX-022,2025-W46,Low
Model 595130-195,03,missing/unknown,QA Inspection Station,Darci,Night,Diode,FX-031,2025-W05,Low
Model 595532-132,04,no property assembled,Production Line 2,Mel,Afternoon,Connector,FX-002,2025-W06,High
Model 595130-195,01,component misalignment,Production Line 1,Geofrey,Night,Connector,FX-040,2025-W44,High
Model 595214-125,01,component height/titled,Production Line 1,Davonte,Night,Connector,FX-038,2025-W32,Low
Model 595130-195,01,no property assembled,Production Line 2,Leena,Night,Resistor,FX-045,2025-W19,High
Model 595214-125,04,component height/titled,Unknown,Daysha,Morning,Diode,FX-023,2025-W43,Medium
Model 595242-854,01,solder bridge,Production Line 3,Geofrey,Morning,Capacitor,FX-013,2025-W51,Medium
Model 595214-125,03,excessive solder,Production Line 2,Zoya,Night,Resistor,FX-023,2025-W47,Medium
Model 595532-132,02,insufficient solder,Production Line 2,Daysha,Morning,Transistor,FX-029,2025-W18,High
Model 595214-125,01,damaged/ lifted pad,Production Line 2,Jerome,Afternoon,Resistor,FX-007,2025-W11,Medium
Model 595242-854,02,component broken,Production Line 3,Daysha,Afternoon,Transistor,FX-050,2025-W41,Low
Model 595242-854,05,pin hole,Production Line 2,Geofrey,Morning,Diode,FX-015,2025-W18,Medium
Model 595214-125,01,reversed component,Unknown,Daysha,Night,Capacitor,FX-018,2025-W40,High
